sales_date,region,product,customer_type,sales_person_name,sales,products_sold
2014-02-01,North,Paper,Enterprise,Jim,852,40701
2014-02-01,East,Staplers,Consumer,Dwight,41,390
2014-02-01,East,Staplers,Consumer,Jim,119,1275
2014-02-01,East,Staplers,Consumer,Pam,302,2705
2014-02-01,East,Staplers,Consumer,Michael,759,6331
2014-02-01,East,Staplers,Enterprise,Michael,167,2306
2014-02-01,East,Staplers,Enterprise,Jim,716,11419
2014-02-01,East,Staplers,Enterprise,Pam,791,11976
2014-02-01,East,Staplers,Enterprise,Dwight,809,9675
2014-02-01,East,Paper,Consumer,Jim,142,6983
2014-02-01,East,Paper,Consumer,Michael,619,19316
2014-02-01,East,Paper,Consumer,Pam,773,35007
2014-02-01,East,Paper,Consumer,Dwight,904,33770
2014-02-01,East,Paper,Enterprise,Jim,551,27958
2014-02-01,East,Paper,Enterprise,Michael,684,39810
2014-02-01,East,Paper,Enterprise,Dwight,898,35473
2014-02-01,East,Paper,Enterprise,Pam,1004,35169
2014-03-01,West,Staplers,Consumer,Jim,117,1546
2014-03-01,West,Staplers,Consumer,Dwight,218,2025
2014-03-01,West,Staplers,Consumer,Pam,354,4485
2014-03-01,West,Staplers,Consumer,Michael,685,7084
2014-03-01,West,Staplers,Enterprise,Jim,30,500
2014-03-01,West,Staplers,Enterprise,Michael,169,2068
2014-03-01,West,Staplers,Enterprise,Pam,513,6629
2014-03-01,West,Staplers,Enterprise,Dwight,936,14079
2014-03-01,West,Paper,Consumer,Jim,18,703
2014-03-01,West,Paper,Consumer,Michael,321,9633
2014-03-01,West,Paper,Consumer,Dwight,419,10488
2014-03-01,West,Paper,Consumer,Pam,784,28123
2014-03-01,West,Paper,Enterprise,Dwight,207,8594
2014-03-01,West,Paper,Enterprise,Jim,240,11978
2014-03-01,West,Paper,Enterprise,Michael,448,41474
2014-03-01,West,Paper,Enterprise,Pam,600,61187
2014-03-01,South,Staplers,Consumer,Dwight,484,3873
2014-03-01,South,Staplers,Consumer,Jim,501,4810
2014-03-01,South,Staplers,Consumer,Michael,574,6385
2014-03-01,South,Staplers,Consumer,Pam,886,11057
2014-03-01,South,Staplers,Enterprise,Jim,563,8154
2014-03-01,South,Staplers,Enterprise,Michael,623,8889
2014-03-01,South,Staplers,Enterprise,Dwight,695,9392
2014-03-01,South,Staplers,Enterprise,Pam,709,7115
2014-03-01,South,Paper,Consumer,Dwight,272,7907
2014-03-01,South,Paper,Consumer,Jim,811,30061
2014-03-01,South,Paper,Consumer,Michael,851,23658
2014-03-01,South,Paper,Consumer,Pam,971,32573
2014-03-01,South,Paper,Enterprise,Jim,47,2433
2014-03-01,South,Paper,Enterprise,Pam,880,61351
2014-03-01,North,Staplers,Consumer,Pam,9,104
2014-03-01,North,Staplers,Consumer,Jim,511,5001
2014-03-01,North,Staplers,Consumer,Michael,546,5848
2014-03-01,North,Staplers,Consumer,Dwight,775,7471
2014-03-01,North,Staplers,Enterprise,Jim,178,2214
2014-03-01,North,Staplers,Enterprise,Dwight,617,6817
2014-03-01,North,Staplers,Enterprise,Pam,978,10516
2014-03-01,North,Staplers,Enterprise,Michael,1029,12837
2014-03-01,North,Paper,Consumer,Pam,15,572
2014-03-01,North,Paper,Consumer,Dwight,83,4053
2014-03-01,North,Paper,Consumer,Michael,572,29783
2014-03-01,North,Paper,Consumer,Jim,952,42028
2014-03-01,North,Paper,Enterprise,Michael,344,12755
2014-03-01,North,Paper,Enterprise,Pam,760,32897
2014-03-01,North,Paper,Enterprise,Jim,852,53183
2014-03-01,North,Paper,Enterprise,Dwight,865,40962
2014-03-01,East,Staplers,Consumer,Dwight,36,350
2014-03-01,East,Staplers,Consumer,Jim,115,1085
2014-03-01,East,Staplers,Consumer,Pam,268,2829
2014-03-01,East,Staplers,Consumer,Michael,759,8418
2014-03-01,East,Staplers,Enterprise,Michael,177,2874
2014-03-01,East,Staplers,Enterprise,Dwight,687,9938
2014-03-01,East,Staplers,Enterprise,Jim,744,11127
2014-03-01,East,Staplers,Enterprise,Pam,846,9928
2014-03-01,East,Paper,Consumer,Jim,146,6318
2014-03-01,East,Paper,Consumer,Michael,693,22185
2014-03-01,East,Paper,Consumer,Pam,703,19324
2014-03-01,East,Paper,Consumer,Dwight,894,22537
2014-03-01,East,Paper,Enterprise,Jim,495,16028
2014-03-01,East,Paper,Enterprise,Michael,745,24687
2014-03-01,East,Paper,Enterprise,Dwight,817,61581
2014-03-01,East,Paper,Enterprise,Pam,883,39356
2014-04-01,West,Staplers,Consumer,Jim,117,1301
2014-04-01,West,Staplers,Consumer,Dwight,209,2538
2014-04-01,West,Staplers,Consumer,Pam,407,3746
2014-04-01,West,Staplers,Consumer,Michael,760,8292
2014-04-01,West,Staplers,Enterprise,Jim,34,351
2014-04-01,West,Staplers,Enterprise,Michael,169,1713
2014-04-01,West,Staplers,Enterprise,Pam,471,7191
2014-04-01,West,Staplers,Enterprise,Dwight,992,14046
2014-04-01,West,Paper,Consumer,Jim,20,487
2014-04-01,West,Paper,Consumer,Michael,343,9674
2014-04-01,West,Paper,Consumer,Dwight,398,13605
2014-04-01,West,Paper,Consumer,Pam,831,21483
2014-04-01,West,Paper,Enterprise,Dwight,211,12679
2014-04-01,West,Paper,Enterprise,Jim,271,9937
2014-04-01,West,Paper,Enterprise,Michael,465,16043
2014-04-01,West,Paper,Enterprise,Pam,522,21093
2014-04-01,South,Staplers,Consumer,Michael,505,4958
2014-04-01,South,Staplers,Consumer,Dwight,532,5956
2014-04-01,South,Staplers,Consumer,Jim,556,4591
2014-04-01,South,Staplers,Consumer,Pam,886,10060
2014-04-01,South,Staplers,Enterprise,Michael,573,8261
2014-04-01,South,Staplers,Enterprise,Jim,636,7499
2014-04-01,South,Staplers,Enterprise,Dwight,799,10706
2014-04-01,South,Staplers,Enterprise,Pam,801,9691
2014-04-01,South,Paper,Consumer,Dwight,247,6268
2014-04-01,South,Paper,Consumer,Jim,754,18960
2014-04-01,South,Paper,Consumer,Michael,927,26821
2014-04-01,South,Paper,Enterprise,Jim,41,1651
2014-04-01,South,Paper,Enterprise,Dwight,938,34483
2014-04-01,South,Paper,Enterprise,Pam,968,79601
2014-04-01,North,Staplers,Consumer,Pam,9,107
2014-04-01,North,Staplers,Consumer,Jim,526,6353
2014-04-01,North,Staplers,Consumer,Michael,589,5344
2014-04-01,North,Staplers,Consumer,Dwight,744,8648
2014-04-01,North,Staplers,Enterprise,Jim,190,2604
2014-04-01,North,Staplers,Enterprise,Dwight,678,8199
2014-04-01,North,Staplers,Enterprise,Michael,895,9054
2014-04-01,North,Staplers,Enterprise,Pam,1095,13901
2014-04-01,North,Paper,Consumer,Pam,13,440
2014-04-01,North,Paper,Consumer,Dwight,71,1963
2014-04-01,North,Paper,Consumer,Michael,554,18994
2014-04-01,North,Paper,Consumer,Jim,961,26966
2014-04-01,North,Paper,Enterprise,Michael,364,13636
2014-04-01,North,Paper,Enterprise,Jim,775,28698
2014-04-01,North,Paper,Enterprise,Pam,782,58435
2014-04-01,North,Paper,Enterprise,Dwight,994,57324
2014-04-01,East,Staplers,Consumer,Dwight,36,331
2014-04-01,East,Staplers,Consumer,Jim,115,1329
2014-04-01,East,Staplers,Consumer,Pam,251,2864
2014-04-01,East,Staplers,Consumer,Michael,796,8405
2014-04-01,East,Staplers,Enterprise,Michael,187,1938
2014-04-01,East,Staplers,Enterprise,Dwight,680,6394
2014-04-01,East,Staplers,Enterprise,Jim,691,8258
2014-04-01,East,Staplers,Enterprise,Pam,947,12861
2014-04-01,East,Paper,Consumer,Jim,140,3599
2014-04-01,East,Paper,Consumer,Michael,693,17264
2014-04-01,East,Paper,Consumer,Pam,703,18950
2014-04-01,East,Paper,Consumer,Dwight,956,51063
2014-04-01,East,Paper,Enterprise,Jim,445,21280
2014-04-01,East,Paper,Enterprise,Michael,648,38775
2014-04-01,East,Paper,Enterprise,Dwight,874,31564
2014-04-01,East,Paper,Enterprise,Pam,944,95385
2014-05-01,West,Staplers,Consumer,Jim,134,1280
2014-05-01,West,Staplers,Consumer,Dwight,198,1808
2014-05-01,West,Staplers,Consumer,Pam,390,4538
2014-05-01,West,Staplers,Consumer,Michael,790,9728
2014-05-01,West,Staplers,Enterprise,Jim,30,362
2014-05-01,West,Staplers,Enterprise,Michael,194,2983
2014-05-01,West,Staplers,Enterprise,Pam,532,6034
2014-05-01,West,Staplers,Enterprise,Dwight,942,9195
2014-05-01,West,Paper,Consumer,Jim,20,570
2014-05-01,West,Paper,Consumer,Michael,312,11866
2014-05-01,West,Paper,Consumer,Dwight,413,11703
2014-05-01,West,Paper,Consumer,Pam,831,33162
2014-05-01,West,Paper,Enterprise,Dwight,189,7638
2014-05-01,West,Paper,Enterprise,Jim,289,16996
2014-05-01,West,Paper,Enterprise,Michael,511,29610
2014-05-01,West,Paper,Enterprise,Pam,553,27946
2014-05-01,South,Staplers,Consumer,Dwight,547,4886
2014-05-01,South,Staplers,Consumer,Michael,555,5038
2014-05-01,South,Staplers,Consumer,Jim,567,5361
2014-05-01,South,Staplers,Consumer,Pam,894,8016
2014-05-01,South,Staplers,Enterprise,Michael,607,7089
2014-05-01,South,Staplers,Enterprise,Jim,661,7823
2014-05-01,South,Staplers,Enterprise,Pam,881,11249
2014-05-01,South,Staplers,Enterprise,Dwight,910,10823
2014-05-01,South,Paper,Consumer,Dwight,276,9224
2014-05-01,South,Paper,Consumer,Jim,776,21216
2014-05-01,South,Paper,Consumer,Michael,936,27694
2014-05-01,South,Paper,Enterprise,Jim,34,2287
2014-05-01,South,Paper,Enterprise,Dwight,834,28834
2014-05-01,South,Paper,Enterprise,Pam,987,39783
2014-05-01,North,Staplers,Consumer,Pam,8,90
2014-05-01,North,Staplers,Consumer,Jim,447,4280
2014-05-01,North,Staplers,Consumer,Michael,594,5624
2014-05-01,North,Staplers,Consumer,Dwight,840,10136
2014-05-01,North,Staplers,Enterprise,Jim,188,2103
2014-05-01,North,Staplers,Enterprise,Dwight,657,8258
2014-05-01,North,Staplers,Enterprise,Michael,859,8298
2014-05-01,North,Staplers,Enterprise,Pam,952,11087
2014-05-01,North,Paper,Consumer,Pam,14,491
2014-05-01,North,Paper,Consumer,Dwight,61,1553
2014-05-01,North,Paper,Consumer,Michael,587,24709
2014-05-01,North,Paper,Enterprise,Michael,331,27279
2014-05-01,North,Paper,Enterprise,Jim,798,26499
2014-05-01,North,Paper,Enterprise,Pam,828,39448
2014-05-01,North,Paper,Enterprise,Dwight,1093,62258
2014-05-01,East,Staplers,Consumer,Dwight,36,395
2014-05-01,East,Staplers,Consumer,Jim,116,1268
2014-05-01,East,Staplers,Consumer,Pam,258,3104
2014-05-01,East,Staplers,Consumer,Michael,883,7637
2014-05-01,East,Staplers,Enterprise,Michael,185,1922
2014-05-01,East,Staplers,Enterprise,Jim,691,11534
2014-05-01,East,Staplers,Enterprise,Dwight,720,7008
2014-05-01,East,Paper,Consumer,Jim,140,6639
2014-05-01,East,Paper,Consumer,Pam,731,29467
2014-05-01,East,Paper,Consumer,Michael,748,33258
2014-05-01,East,Paper,Consumer,Dwight,965,24395
2014-05-01,East,Paper,Enterprise,Jim,511,25741
2014-05-01,East,Paper,Enterprise,Michael,660,27606
2014-05-01,East,Paper,Enterprise,Pam,944,50444
2014-05-01,East,Paper,Enterprise,Dwight,987,49239
2014-06-01,West,Staplers,Consumer,Jim,131,1059
2014-06-01,West,Staplers,Consumer,Dwight,180,1808
2014-06-01,West,Staplers,Consumer,Pam,354,3330
2014-06-01,West,Staplers,Consumer,Michael,845,9316
2014-06-01,West,Staplers,Enterprise,Jim,27,303
2014-06-01,West,Staplers,Enterprise,Michael,164,2021
2014-06-01,West,Staplers,Enterprise,Pam,542,5508
2014-06-01,West,Staplers,Enterprise,Dwight,885,8929
2014-06-01,West,Paper,Consumer,Jim,18,522
2014-06-01,West,Paper,Consumer,Michael,302,12498
2014-06-01,West,Paper,Consumer,Dwight,413,11858
2014-06-01,West,Paper,Consumer,Pam,806,32383
2014-06-01,West,Paper,Enterprise,Dwight,166,14342
2014-06-01,West,Paper,Enterprise,Jim,274,22111
2014-06-01,West,Paper,Enterprise,Michael,495,37864
2014-06-01,West,Paper,Enterprise,Pam,580,24661
2014-06-01,South,Staplers,Consumer,Dwight,519,6180
2014-06-01,South,Staplers,Consumer,Jim,527,5217
2014-06-01,South,Staplers,Consumer,Michael,577,6550
2014-06-01,South,Staplers,Consumer,Pam,1010,9545
2014-06-01,South,Staplers,Enterprise,Michael,600,7629
2014-06-01,South,Staplers,Enterprise,Jim,674,9557
2014-06-01,South,Staplers,Enterprise,Pam,836,12022
2014-06-01,South,Staplers,Enterprise,Dwight,882,10338
2014-06-01,South,Paper,Consumer,Dwight,259,9670
2014-06-01,South,Paper,Consumer,Jim,776,21841
2014-06-01,South,Paper,Consumer,Pam,987,33548
2014-06-01,South,Paper,Enterprise,Jim,36,1284
2014-06-01,South,Paper,Enterprise,Dwight,867,38050
2014-06-01,South,Paper,Enterprise,Michael,933,84631
2014-06-01,North,Staplers,Consumer,Pam,8,78
2014-06-01,North,Staplers,Consumer,Jim,514,4601
2014-06-01,North,Staplers,Consumer,Michael,683,7866
2014-06-01,North,Staplers,Consumer,Dwight,865,9568
2014-06-01,North,Staplers,Enterprise,Jim,206,2552
2014-06-01,North,Staplers,Enterprise,Dwight,604,6333
2014-06-01,North,Staplers,Enterprise,Michael,944,12471
2014-06-01,North,Staplers,Enterprise,Pam,1047,10990
2014-06-01,North,Paper,Consumer,Pam,14,692
2014-06-01,North,Paper,Consumer,Dwight,62,3027
2014-06-01,North,Paper,Consumer,Michael,587,22907
2014-06-01,North,Paper,Enterprise,Michael,380,23423
2014-06-01,North,Paper,Enterprise,Jim,734,29639
2014-06-01,North,Paper,Enterprise,Pam,952,60242
2014-06-01,East,Staplers,Consumer,Dwight,32,322
2014-06-01,East,Staplers,Consumer,Jim,98,1164
2014-06-01,East,Staplers,Consumer,Pam,239,1846
2014-06-01,East,Staplers,Consumer,Michael,918,11805
2014-06-01,East,Staplers,Enterprise,Michael,162,2007
2014-06-01,East,Staplers,Enterprise,Dwight,770,9336
2014-06-01,East,Staplers,Enterprise,Jim,780,9719
2014-06-01,East,Paper,Consumer,Jim,120,4453
2014-06-01,East,Paper,Consumer,Pam,679,19400
2014-06-01,East,Paper,Consumer,Michael,688,24961
2014-06-01,East,Paper,Consumer,Dwight,858,43222
2014-06-01,East,Paper,Enterprise,Jim,546,22551
2014-06-01,East,Paper,Enterprise,Michael,587,19205
2014-06-01,East,Paper,Enterprise,Dwight,838,46414
2014-06-01,East,Paper,Enterprise,Pam,859,55143
2014-07-01,West,Staplers,Consumer,Jim,128,1175
2014-07-01,West,Staplers,Consumer,Dwight,201,2448
2014-07-01,West,Staplers,Consumer,Pam,396,4640
2014-07-01,West,Staplers,Consumer,Michael,743,6005
2014-07-01,West,Staplers,Enterprise,Jim,28,314
2014-07-01,West,Staplers,Enterprise,Michael,172,1803
2014-07-01,West,Staplers,Enterprise,Pam,623,9173
2014-07-01,West,Staplers,Enterprise,Dwight,938,13180
2014-07-01,West,Paper,Consumer,Jim,16,435
2014-07-01,West,Paper,Consumer,Michael,280,6959
2014-07-01,West,Paper,Consumer,Dwight,392,9079
2014-07-01,West,Paper,Consumer,Pam,685,26900
2014-07-01,West,Paper,Enterprise,Dwight,182,15667
2014-07-01,West,Paper,Enterprise,Jim,312,15936
2014-07-01,West,Paper,Enterprise,Michael,554,46367
2014-07-01,West,Paper,Enterprise,Pam,655,21064
2014-07-01,South,Staplers,Consumer,Dwight,451,4960
2014-07-01,South,Staplers,Consumer,Jim,505,4673
2014-07-01,South,Staplers,Consumer,Michael,652,8641
2014-07-01,South,Staplers,Enterprise,Michael,528,5452
2014-07-01,South,Staplers,Enterprise,Jim,674,6682
2014-07-01,South,Staplers,Enterprise,Pam,777,8490
2014-07-01,South,Staplers,Enterprise,Dwight,784,9548
2014-07-01,South,Paper,Consumer,Dwight,253,8255
2014-07-01,South,Paper,Consumer,Jim,721,17607
2014-07-01,South,Paper,Enterprise,Jim,41,2286
2014-07-01,South,Paper,Enterprise,Dwight,971,39263
2014-07-01,North,Staplers,Consumer,Pam,7,62
2014-07-01,North,Staplers,Consumer,Jim,529,4724
2014-07-01,North,Staplers,Consumer,Michael,683,7212
2014-07-01,North,Staplers,Consumer,Dwight,821,6558
2014-07-01,North,Staplers,Enterprise,Jim,181,2031
2014-07-01,North,Staplers,Enterprise,Dwight,519,5886
2014-07-01,North,Staplers,Enterprise,Michael,991,10400
2014-07-01,North,Staplers,Enterprise,Pam,1005,13329
2014-07-01,North,Paper,Consumer,Pam,14,459
2014-07-01,North,Paper,Consumer,Dwight,57,2750
2014-07-01,North,Paper,Consumer,Michael,675,16549
2014-07-01,North,Paper,Enterprise,Michael,410,14907
2014-07-01,North,Paper,Enterprise,Jim,623,37985
2014-07-01,North,Paper,Enterprise,Pam,847,45162
2014-07-01,North,Paper,Enterprise,Dwight,995,52790
2014-07-01,East,Staplers,Consumer,Dwight,36,315
2014-07-01,East,Staplers,Consumer,Jim,91,1147
2014-07-01,East,Staplers,Consumer,Pam,274,3067
2014-07-01,East,Staplers,Consumer,Michael,927,10001
2014-07-01,East,Staplers,Enterprise,Michael,160,2757
2014-07-01,East,Staplers,Enterprise,Jim,686,6262
2014-07-01,East,Staplers,Enterprise,Dwight,823,13189
2014-07-01,East,Paper,Consumer,Jim,109,2989
2014-07-01,East,Paper,Consumer,Pam,577,25635
2014-07-01,East,Paper,Consumer,Michael,598,24923
2014-07-01,East,Paper,Consumer,Dwight,797,19351
2014-07-01,East,Paper,Enterprise,Jim,485,24311
2014-07-01,East,Paper,Enterprise,Michael,534,20807
2014-07-01,East,Paper,Enterprise,Dwight,854,29603
2014-07-01,East,Paper,Enterprise,Pam,910,39561
2014-08-01,West,Staplers,Consumer,Jim,124,1376
2014-08-01,West,Staplers,Consumer,Dwight,178,1519
2014-08-01,West,Staplers,Consumer,Pam,368,4167
2014-08-01,West,Staplers,Consumer,Michael,743,8081
2014-08-01,West,Staplers,Enterprise,Jim,31,297
2014-08-01,West,Staplers,Enterprise,Michael,173,2680
2014-08-01,West,Staplers,Enterprise,Pam,629,8553
2014-08-01,West,Staplers,Enterprise,Dwight,984,11399
2014-08-01,West,Paper,Consumer,Jim,16,429
2014-08-01,West,Paper,Consumer,Michael,240,5852
2014-08-01,West,Paper,Consumer,Dwight,333,15480
2014-08-01,West,Paper,Consumer,Pam,691,21169
2014-08-01,West,Paper,Enterprise,Dwight,169,8693
2014-08-01,West,Paper,Enterprise,Jim,296,25497
2014-08-01,West,Paper,Enterprise,Michael,476,30663
2014-08-01,West,Paper,Enterprise,Pam,733,28296
2014-08-01,South,Staplers,Consumer,Dwight,387,4744
2014-08-01,South,Staplers,Consumer,Jim,545,4375
2014-08-01,South,Staplers,Consumer,Michael,567,6097
2014-08-01,South,Staplers,Enterprise,Michael,496,6718
2014-08-01,South,Staplers,Enterprise,Jim,633,8194
2014-08-01,South,Staplers,Enterprise,Pam,722,11575
2014-08-01,South,Staplers,Enterprise,Dwight,729,10914
2014-08-01,South,Paper,Consumer,Dwight,250,9274
2014-08-01,South,Paper,Consumer,Jim,749,22059
2014-08-01,South,Paper,Enterprise,Jim,37,1296
2014-08-01,North,Staplers,Consumer,Pam,6,70
2014-08-01,North,Staplers,Consumer,Jim,560,5420
2014-08-01,North,Staplers,Consumer,Michael,594,5033
2014-08-01,North,Staplers,Consumer,Dwight,714,7740
2014-08-01,North,Staplers,Enterprise,Jim,204,2842
2014-08-01,North,Staplers,Enterprise,Dwight,586,6616
2014-08-01,North,Paper,Consumer,Pam,13,424
2014-08-01,North,Paper,Consumer,Dwight,49,1521
2014-08-01,North,Paper,Consumer,Michael,708,36113
2014-08-01,North,Paper,Enterprise,Michael,451,17613
2014-08-01,North,Paper,Enterprise,Jim,697,25487
2014-08-01,North,Paper,Enterprise,Pam,796,60055
2014-08-01,North,Paper,Enterprise,Dwight,995,34955
2014-08-01,East,Staplers,Consumer,Dwight,33,300
2014-08-01,East,Staplers,Consumer,Jim,82,705
2014-08-01,East,Staplers,Consumer,Pam,263,2359
2014-08-01,East,Staplers,Consumer,Michael,815,8693
2014-08-01,East,Staplers,Enterprise,Michael,161,2030
2014-08-01,East,Staplers,Enterprise,Jim,651,11395
2014-08-01,East,Staplers,Enterprise,Dwight,732,9608
2014-08-01,East,Paper,Consumer,Jim,104,4227
2014-08-01,East,Paper,Consumer,Michael,592,13841
2014-08-01,East,Paper,Consumer,Pam,600,23628
2014-08-01,East,Paper,Consumer,Dwight,916,28157
2014-08-01,East,Paper,Enterprise,Jim,485,31271
2014-08-01,East,Paper,Enterprise,Michael,534,30993
2014-08-01,East,Paper,Enterprise,Dwight,760,42921
2014-08-01,East,Paper,Enterprise,Pam,782,27708
2014-09-01,West,Staplers,Consumer,Jim,132,1238
2014-09-01,West,Staplers,Consumer,Dwight,156,1423
2014-09-01,West,Staplers,Consumer,Pam,360,2849
2014-09-01,West,Staplers,Consumer,Michael,832,7419
2014-09-01,West,Staplers,Enterprise,Jim,33,435
2014-09-01,West,Staplers,Enterprise,Michael,198,2333
2014-09-01,West,Staplers,Enterprise,Pam,647,11463
2014-09-01,West,Staplers,Enterprise,Dwight,905,11227
2014-09-01,West,Paper,Consumer,Jim,14,395
2014-09-01,West,Paper,Consumer,Michael,256,7328
2014-09-01,West,Paper,Consumer,Dwight,333,8769
2014-09-01,West,Paper,Consumer,Pam,663,20026
2014-09-01,West,Paper,Enterprise,Dwight,162,6922
2014-09-01,West,Paper,Enterprise,Jim,310,13822
