host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_is_superhost
2876314,Noem,2012-07-09,,,f
15386919,Evelien,2014-05-11,0.8,1,f
5892899,Frank,2013-04-12,1,,f
23729805,Nina,2014-11-14,0.79,0.85,f
262799,Niels,2010-10-15,1,0.67,f
1885247,Jasper,2012-03-08,1,0.71,f
27526928,Elise,2015-02-10,1,0.84,t
6426141,Floortje,2013-05-16,1,1,f
5446448,Patty,2013-03-13,1,0.88,f
7165224,Bob,2013-06-28,,,f
21791516,Fabienne,2014-09-26,,,f
23179135,Bart & Manon,2014-10-31,1,0,f
34271366,Mique,2015-05-26,,,f
14597935,Nina,2014-04-22,1,1,f
35696564,Yvonne,2015-06-13,1,1,f
7191567,Joshua,2013-06-30,0.99,0.43,f
11939517,Eva,2014-02-04,0.33,1,f
13986845,Edvina,2014-04-07,1,1,f
589344,Jennifer & Chris,2011-05-15,1,,f
34518112,Kirsten,2015-05-29,0.93,1,f
20557758,Milja,2014-08-26,1,1,f
5586858,Eva,2013-03-23,0.96,1,f
5121684,Zita,2013-02-17,0.95,0.67,f
16125509,Niki,2014-05-29,0.6,1,f
9519520,Ilse,2013-10-19,,,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
4794187,Diederik,2013-01-21,1,1,f
24143494,Jan-Willem,2014-11-25,1,1,f
9545996,Dominique,2013-10-21,1,0,f
12090033,Robbert,2014-02-09,0.94,0.58,f
5121684,Zita,2013-02-17,0.95,0.67,f
19850735,Aart,2014-08-11,0.96,1,f
24993086,Djurre,2014-12-19,1,1,f
29780607,Mark,2015-03-22,1,,f
5765605,Philippe,2013-04-04,1,1,f
34269475,Frank,2015-05-26,0.8,1,f
9519520,Ilse,2013-10-19,,,f
13493759,Tina En Johann,2014-03-24,1,1,f
31264001,Enrico,2015-04-15,0.96,0.74,t
27305223,Julia,2015-02-06,1,,f
341677,Lieve Nachten B&B,2011-01-10,0.5,0,f
9136942,Selcen,2013-09-30,0.8,0.74,f
7110955,UrbanCampsiteAmsterdam,2013-06-25,0.95,1,f
19902394,Brigitte,2014-08-12,1,1,f
31264001,Enrico,2015-04-15,0.96,0.74,t
16986186,Rafael,2014-06-19,1,,f
5785727,Roald,2013-04-05,1,1,f
23380703,Jan,2014-11-05,1,1,f
28640347,Marc,2015-03-02,1,0.88,t
39689199,Gijs,2015-07-27,1,0.56,f
7191567,Joshua,2013-06-30,0.99,0.43,f
38560640,Vin,2015-07-15,0.75,1,f
11225917,Flvio,2014-01-12,1,1,f
7218607,Job En Suzanne,2013-07-01,1,1,f
9015391,Elle,2013-09-23,1,1,t
31264001,Enrico,2015-04-15,0.96,0.74,t
39174315,Silvia,2015-07-21,1,1,f
29611976,Bas,2015-03-19,1,1,f
3265658,Ruud,2012-08-15,1,1,t
38959766,Erik & Judith,2015-07-19,1,1,f
30628576,Tim,2015-04-05,1,1,f
43194285,Johan,2015-09-02,,,f
4979621,Jorrit&Dirk,2013-02-05,1,0.99,f
20386090,Pepijn,2014-08-22,1,,f
39009584,Yara,2015-07-20,1,0.67,f
9752532,Michel,2013-11-01,1,1,f
39689199,Gijs,2015-07-27,1,0.56,f
38373064,Maaike & Ruben,2015-07-13,1,1,f
25745744,Jolanda,2015-01-07,0.99,0.94,f
39268985,Thirza,2015-07-22,1,0.89,f
17530782,Chas,2014-07-02,1,0,f
12943061,Maikel,2014-03-09,1,0.92,t
11997764,Christine,2014-02-06,1,1,f
5441169,Robert,2013-03-13,1,,f
8172945,Marcel,2013-08-15,1,1,f
5163484,Barbara,2013-02-20,1,1,f
1302398,Eva,2011-10-17,1,1,f
19177134,Nikki,2014-07-30,1,1,f
3040855,Michael,2012-07-24,0.98,1,f
5441169,Robert,2013-03-13,1,,f
7247111,Mirco,2013-07-02,,,f
473766,Danielle,2011-03-30,1,1,f
38337675,Edgar,2015-07-13,0.93,1,f
7110955,UrbanCampsiteAmsterdam,2013-06-25,0.95,1,f
27138524,Jacobiene,2015-02-03,1,1,f
18586354,Michael,2014-07-21,,,f
